Timestamp,Flambeau (MW)
2015-02-01T06:00:00Z,undefined
2015-02-05T06:00:00Z,undefined
2015-02-09T06:00:00Z,undefined
2015-02-13T06:00:00Z,undefined
2015-02-17T06:00:00Z,undefined
2015-02-21T06:00:00Z,undefined
2015-02-25T06:00:00Z,undefined
2015-03-01T06:00:00Z,undefined
2015-03-05T06:00:00Z,undefined
2015-03-09T05:00:00Z,undefined
2015-03-13T05:00:00Z,undefined
2015-03-17T05:00:00Z,undefined
2015-03-21T05:00:00Z,undefined
2015-03-25T05:00:00Z,undefined
2015-03-29T05:00:00Z,undefined
2015-04-02T05:00:00Z,undefined
2015-04-06T05:00:00Z,undefined
2015-04-10T05:00:00Z,undefined
2015-04-14T05:00:00Z,undefined
2015-04-18T05:00:00Z,undefined
2015-04-22T05:00:00Z,undefined
2015-04-26T05:00:00Z,undefined
2015-04-30T05:00:00Z,undefined
2015-05-04T05:00:00Z,undefined
2015-05-08T05:00:00Z,undefined
2015-05-12T05:00:00Z,undefined
2015-05-16T05:00:00Z,undefined
2015-05-20T05:00:00Z,undefined
2015-05-24T05:00:00Z,undefined
2015-05-28T05:00:00Z,undefined
2015-06-01T05:00:00Z,undefined
2015-06-05T05:00:00Z,undefined
2015-06-09T05:00:00Z,undefined
2015-06-13T05:00:00Z,undefined
2015-06-17T05:00:00Z,undefined
2015-06-21T05:00:00Z,undefined
2015-06-25T05:00:00Z,undefined
2015-06-29T05:00:00Z,undefined
2015-07-03T05:00:00Z,undefined
2015-07-07T05:00:00Z,undefined
2015-07-11T05:00:00Z,undefined
2015-07-15T05:00:00Z,undefined
2015-07-19T05:00:00Z,undefined
2015-07-23T05:00:00Z,undefined
2015-07-27T05:00:00Z,undefined
2015-07-31T05:00:00Z,undefined
2015-08-04T05:00:00Z,undefined
2015-08-08T05:00:00Z,undefined
2015-08-12T05:00:00Z,undefined
2015-08-16T05:00:00Z,undefined
2015-08-20T05:00:00Z,undefined
2015-08-24T05:00:00Z,undefined
2015-08-28T05:00:00Z,undefined
2015-09-01T05:00:00Z,undefined
2015-09-05T05:00:00Z,undefined
2015-09-09T05:00:00Z,undefined
2015-09-13T05:00:00Z,undefined
2015-09-17T05:00:00Z,undefined
2015-09-21T05:00:00Z,undefined
2015-09-25T05:00:00Z,undefined
2015-09-29T05:00:00Z,undefined
2015-10-03T05:00:00Z,undefined
2015-10-07T05:00:00Z,undefined
2015-10-11T05:00:00Z,undefined
2015-10-15T05:00:00Z,undefined
2015-10-19T05:00:00Z,undefined
2015-10-23T05:00:00Z,undefined
2015-10-27T05:00:00Z,undefined
2015-10-31T05:00:00Z,undefined
2015-11-04T06:00:00Z,undefined
2015-11-08T06:00:00Z,undefined
2015-11-12T06:00:00Z,undefined
2015-11-16T06:00:00Z,undefined
2015-11-20T06:00:00Z,undefined
2015-11-24T06:00:00Z,undefined
2015-11-28T06:00:00Z,undefined
2015-12-02T06:00:00Z,undefined
2015-12-06T06:00:00Z,undefined
2015-12-10T06:00:00Z,undefined
2015-12-14T06:00:00Z,undefined
2015-12-18T06:00:00Z,undefined
2015-12-22T06:00:00Z,undefined
2015-12-26T06:00:00Z,undefined
2015-12-30T06:00:00Z,undefined
2016-01-03T06:00:00Z,6.810214
2016-01-07T06:00:00Z,8.851151
2016-01-11T06:00:00Z,6.35328627
2016-01-15T06:00:00Z,7.46946573
2016-01-19T06:00:00Z,7.50366545
2016-01-23T06:00:00Z,7.65529776
2016-01-27T06:00:00Z,7.44944572
2016-01-31T06:00:00Z,7.01638
2016-02-04T06:00:00Z,6.700167
2016-02-08T06:00:00Z,7.11783075
2016-02-12T06:00:00Z,6.38034534
2016-02-16T06:00:00Z,6.35946751
2016-02-20T06:00:00Z,6.95305443
2016-02-24T06:00:00Z,6.63812256
2016-02-28T06:00:00Z,6.870086
2016-03-03T06:00:00Z,6.61951876
2016-03-07T06:00:00Z,6.2012763
2016-03-11T06:00:00Z,18.2233372
2016-03-15T05:00:00Z,20.189867
2016-03-19T05:00:00Z,22.0750332
2016-03-23T05:00:00Z,18.02012
2016-03-27T05:00:00Z,12.3961859
2016-03-31T05:00:00Z,17.1361389
2016-04-04T05:00:00Z,14.732173
2016-04-08T05:00:00Z,14.0696144
2016-04-12T05:00:00Z,13.0636406
2016-04-16T05:00:00Z,12.3497715
2016-04-20T05:00:00Z,9.450626
2016-04-24T05:00:00Z,10.06159
2016-04-28T05:00:00Z,21.8537941
2016-05-02T05:00:00Z,15.1507082
2016-05-06T05:00:00Z,9.046436
2016-05-10T05:00:00Z,7.858801
2016-05-14T05:00:00Z,8.737417
2016-05-18T05:00:00Z,6.789957
2016-05-22T05:00:00Z,5.21179152
2016-05-26T05:00:00Z,6.146706
2016-05-30T05:00:00Z,20.3225269
2016-06-03T05:00:00Z,21.368824
2016-06-07T05:00:00Z,21.56916
2016-06-11T05:00:00Z,14.6674261
2016-06-15T05:00:00Z,20.2151718
2016-06-19T05:00:00Z,17.5699883
2016-06-23T05:00:00Z,13.3025827
2016-06-27T05:00:00Z,20.68853
2016-07-01T05:00:00Z,13.5599642
2016-07-05T05:00:00Z,9.088351
2016-07-09T05:00:00Z,9.10186
2016-07-13T05:00:00Z,11.0669765
2016-07-17T05:00:00Z,11.4849987
2016-07-21T05:00:00Z,7.59034252
2016-07-25T05:00:00Z,7.550347
2016-07-29T05:00:00Z,12.3846617
2016-08-02T05:00:00Z,6.99567366
2016-08-06T05:00:00Z,11.0271559
2016-08-10T05:00:00Z,6.58486366
2016-08-14T05:00:00Z,8.054511
2016-08-18T05:00:00Z,5.49157858
2016-08-22T05:00:00Z,13.0769186
2016-08-26T05:00:00Z,10.0832691
2016-08-30T05:00:00Z,6.796535
2016-09-03T05:00:00Z,7.477041
